;loinc_num;long_common_name;component;system;property;combined_col;removed_punc;tokens;clean_tokens;pos_tag;clean_text;query;rank
234;54230-8;Cell count and Diff panel with Gluc and Prot - Cerebral spinal fluid;Cell count & Differential panel with Glucose & Protein;CSF;-;Cell count and Diff panel with Gluc and Prot - Cerebral spinal fluidCell count & Differential panel with Glucose & ProteinCSFproperty;Cell count and Diff panel with Gluc and Prot  Cerebral spinal fluidCell count  Differential panel with Glucose  ProteinCSFproperty;['cell', 'count', 'and', 'diff', 'panel', 'with', 'gluc', 'and', 'prot', 'cerebral', 'spinal', 'fluidcell', 'count', 'differential', 'panel', 'with', 'glucose', 'proteincsfproperty'];['cell', 'count', 'diff', 'panel', 'gluc', 'prot', 'cerebral', 'spinal', 'fluidcell', 'count', 'differential', 'panel', 'glucose', 'proteincsfproperty'];[('cell', 'NN'), ('count', 'NN'), ('and', 'CC'), ('diff', 'JJ'), ('panel', 'NN'), ('with', 'IN'), ('gluc', 'NN'), ('and', 'CC'), ('prot', 'JJ'), ('cerebral', 'JJ'), ('spinal', 'NN'), ('fluidcell', 'NN'), ('count', 'NN'), ('differential', 'JJ'), ('panel', 'NN'), ('with', 'IN'), ('glucose', 'JJ'), ('proteincsfproperty', 'NN')];cell count diff panel gluc prot cerebral spinal fluidcell count differential panel glucose proteincsfproperty;bilirubin in plasma;0
235;49862-6;G6PC gene targeted mutation analysis in Blood or Tissue by Molecular genetics method;G6PC gene targeted mutation analysis;Bld/Tiss;Find;G6PC gene targeted mutation analysis in Blood or Tissue by Molecular genetics methodG6PC gene targeted mutation analysisBld/Tissproperty;G6PC gene targeted mutation analysis in Blood or Tissue by Molecular genetics methodG6PC gene targeted mutation analysisBldTissproperty;['g6pc', 'gene', 'targeted', 'mutation', 'analysis', 'in', 'blood', 'or', 'tissue', 'by', 'molecular', 'genetics', 'methodg6pc', 'gene', 'targeted', 'mutation', 'analysisbldtissproperty'];['g6pc', 'gene', 'targeted', 'mutation', 'analysis', 'blood', 'tissue', 'molecular', 'genetics', 'methodg6pc', 'gene', 'targeted', 'mutation', 'analysisbldtissproperty'];[('g6pc', 'JJ'), ('gene', 'NN'), ('targeted', 'VBN'), ('mutation', 'NN'), ('analysis', 'NN'), ('in', 'IN'), ('blood', 'NN'), ('or', 'CC'), ('tissue', 'NN'), ('by', 'IN'), ('molecular', 'JJ'), ('genetics', 'NNS'), ('methodg6pc', 'JJ'), ('gene', 'NN'), ('targeted', 'VBN'), ('mutation', 'NN'), ('analysisbldtissproperty', 'NN')];g6pc gene targeted mutation analysis blood tissue molecular genetics methodg6pc gene targeted mutation analysisbldtissproperty;bilirubin in plasma;0
236;33898-8;Bilirubin.conjugated+indirect [Mass/volume] in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.non-glucuronidated;Ser/Plas;MCnc;Bilirubin.conjugated+indirect [Mass/volume] in Serum or PlasmaBilirubin.glucuronidated+Bilirubin.non-glucuronidatedSer/Plasproperty;Bilirubinconjugatedindirect Massvolume in Serum or PlasmaBilirubinglucuronidatedBilirubinnonglucuronidatedSerPlasproperty;['bilirubinconjugatedindirect', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubinnonglucuronidatedserplasproperty'];['bilirubinconjugatedindirect', 'massvolume', 'serum', 'plasmabilirubinglucuronidatedbilirubinnonglucuronidatedserplasproperty'];[('bilirubinconjugatedindirect', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubinnonglucuronidatedserplasproperty', 'NN')];bilirubinconjugatedindirect massvolume serum plasmabilirubinglucuronidatedbilirubinnonglucuronidatedserplasproperty;bilirubin in plasma;1
237;33899-6;Bilirubin.conjugated+indirect [Moles/volume] in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.non-glucuronidated;Ser/Plas;SCnc;Bilirubin.conjugated+indirect [Moles/volume] in Serum or PlasmaBilirubin.glucuronidated+Bilirubin.non-glucuronidatedSer/Plasproperty;Bilirubinconjugatedindirect Molesvolume in Serum or PlasmaBilirubinglucuronidatedBilirubinnonglucuronidatedSerPlasproperty;['bilirubinconjugatedindirect', 'molesvolume', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubinnonglucuronidatedserplasproperty'];['bilirubinconjugatedindirect', 'molesvolume', 'serum', 'plasmabilirubinglucuronidatedbilirubinnonglucuronidatedserplasproperty'];[('bilirubinconjugatedindirect', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubinnonglucuronidatedserplasproperty', 'NN')];bilirubinconjugatedindirect molesvolume serum plasmabilirubinglucuronidatedbilirubinnonglucuronidatedserplasproperty;bilirubin in plasma;1
238;50189-0;Neonatal bilirubin panel [Mass/volume] - Serum or Plasma;Neonatal bilirubin panel;Ser/Plas;MCnc;Neonatal bilirubin panel [Mass/volume] - Serum or PlasmaNeonatal bilirubin panelSer/Plasproperty;Neonatal bilirubin panel Massvolume  Serum or PlasmaNeonatal bilirubin panelSerPlasproperty;['neonatal', 'bilirubin', 'panel', 'massvolume', 'serum', 'or', 'plasmaneonatal', 'bilirubin', 'panelserplasproperty'];['neonatal', 'bilirubin', 'panel', 'massvolume', 'serum', 'plasmaneonatal', 'bilirubin', 'panelserplasproperty'];[('neonatal', 'JJ'), ('bilirubin', 'NN'), ('panel', 'NN'), ('massvolume', 'NN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaneonatal', 'JJ'), ('bilirubin', 'NN'), ('panelserplasproperty', 'NN')];neonatal bilirubin panel massvolume serum plasmaneonatal bilirubin panelserplasproperty;bilirubin in plasma;1
239;14630-8;Bilirubin.indirect [Moles/volume] in Serum or Plasma;Bilirubin.non-glucuronidated;Ser/Plas;SCnc;Bilirubin.indirect [Moles/volume] in Serum or PlasmaBilirubin.non-glucuronidatedSer/Plasproperty;Bilirubinindirect Molesvolume in Serum or PlasmaBilirubinnonglucuronidatedSerPlasproperty;['bilirubinindirect', 'molesvolume', 'in', 'serum', 'or', 'plasmabilirubinnonglucuronidatedserplasproperty'];['bilirubinindirect', 'molesvolume', 'serum', 'plasmabilirubinnonglucuronidatedserplasproperty'];[('bilirubinindirect', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinnonglucuronidatedserplasproperty', 'NN')];bilirubinindirect molesvolume serum plasmabilirubinnonglucuronidatedserplasproperty;bilirubin in plasma;1
240;15153-0;Deprecated Indirect bilirubin [Mass/volume] in Serum or Plasma;Bilirubin.non-glucuronidated;Ser/Plas;MCnc;Deprecated Indirect bilirubin [Mass/volume] in Serum or PlasmaBilirubin.non-glucuronidatedSer/Plasproperty;Deprecated Indirect bilirubin Massvolume in Serum or PlasmaBilirubinnonglucuronidatedSerPlasproperty;['deprecated', 'indirect', 'bilirubin', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinnonglucuronidatedserplasproperty'];['deprecated', 'indirect', 'bilirubin', 'massvolume', 'serum', 'plasmabilirubinnonglucuronidatedserplasproperty'];[('deprecated', 'VBN'), ('indirect', 'JJ'), ('bilirubin', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinnonglucuronidatedserplasproperty', 'NN')];deprecated indirect bilirubin massvolume serum plasmabilirubinnonglucuronidatedserplasproperty;bilirubin in plasma;1
241;35672-5;Bilirubin.direct/Bilirubin.total in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.albumin bound/Bilirubin.total;Ser/Plas;MFr;Bilirubin.direct/Bilirubin.total in Serum or PlasmaBilirubin.glucuronidated+Bilirubin.albumin bound/Bilirubin.totalSer/Plasproperty;BilirubindirectBilirubintotal in Serum or PlasmaBilirubinglucuronidatedBilirubinalbumin boundBilirubintotalSerPlasproperty;['bilirubindirectbilirubintotal', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundbilirubintotalserplasproperty'];['bilirubindirectbilirubintotal', 'serum', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundbilirubintotalserplasproperty'];[('bilirubindirectbilirubintotal', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubinalbumin', 'NN'), ('boundbilirubintotalserplasproperty', 'NN')];bilirubindirectbilirubintotal serum plasmabilirubinglucuronidatedbilirubinalbumin boundbilirubintotalserplasproperty;bilirubin in plasma;1
242;34442-4;Bilirubin.conjugated/Bilirubin.total in Serum or Plasma;Bilirubin.glucuronidated/Bilirubin.total;Ser/Plas;MFr;Bilirubin.conjugated/Bilirubin.total in Serum or PlasmaBilirubin.glucuronidated/Bilirubin.totalSer/Plasproperty;BilirubinconjugatedBilirubintotal in Serum or PlasmaBilirubinglucuronidatedBilirubintotalSerPlasproperty;['bilirubinconjugatedbilirubintotal', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubintotalserplasproperty'];['bilirubinconjugatedbilirubintotal', 'serum', 'plasmabilirubinglucuronidatedbilirubintotalserplasproperty'];[('bilirubinconjugatedbilirubintotal', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubintotalserplasproperty', 'NN')];bilirubinconjugatedbilirubintotal serum plasmabilirubinglucuronidatedbilirubintotalserplasproperty;bilirubin in plasma;1
243;34543-9;Bilirubin direct and total panel [Mass/volume] - Serum or Plasma;Bilirubin direct & total panel;Ser/Plas;MCnc;Bilirubin direct and total panel [Mass/volume] - Serum or PlasmaBilirubin direct & total panelSer/Plasproperty;Bilirubin direct and total panel Massvolume  Serum or PlasmaBilirubin direct  total panelSerPlasproperty;['bilirubin', 'direct', 'and', 'total', 'panel', 'massvolume', 'serum', 'or', 'plasmabilirubin', 'direct', 'total', 'panelserplasproperty'];['bilirubin', 'direct', 'total', 'panel', 'massvolume', 'serum', 'plasmabilirubin', 'direct', 'total', 'panelserplasproperty'];[('bilirubin', 'NN'), ('direct', 'NN'), ('and', 'CC'), ('total', 'JJ'), ('panel', 'NN'), ('massvolume', 'NN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubin', 'NN'), ('direct', 'JJ'), ('total', 'NN'), ('panelserplasproperty', 'NN')];bilirubin direct total panel massvolume serum plasmabilirubin direct total panelserplasproperty;bilirubin in plasma;1
244;35191-6;Bilirubin.direct [Mass or Moles/volume] in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.albumin bound;Ser/Plas;MSCnc;Bilirubin.direct [Mass or Moles/volume] in Serum or PlasmaBilirubin.glucuronidated+Bilirubin.albumin boundSer/Plasproperty;Bilirubindirect Mass or Molesvolume in Serum or PlasmaBilirubinglucuronidatedBilirubinalbumin boundSerPlasproperty;['bilirubindirect', 'mass', 'or', 'molesvolume', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];['bilirubindirect', 'mass', 'molesvolume', 'serum', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];[('bilirubindirect', 'JJ'), ('mass', 'NN'), ('or', 'CC'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubinalbumin', 'NN'), ('boundserplasproperty', 'NN')];bilirubindirect mass molesvolume serum plasmabilirubinglucuronidatedbilirubinalbumin boundserplasproperty;bilirubin in plasma;1
245;43820-0;Bilirubin.direct [Presence] in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.albumin bound;Ser/Plas;PrThr;Bilirubin.direct [Presence] in Serum or PlasmaBilirubin.glucuronidated+Bilirubin.albumin boundSer/Plasproperty;Bilirubindirect Presence in Serum or PlasmaBilirubinglucuronidatedBilirubinalbumin boundSerPlasproperty;['bilirubindirect', 'presence', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];['bilirubindirect', 'presence', 'serum', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];[('bilirubindirect', 'JJ'), ('presence', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubinalbumin', 'NN'), ('boundserplasproperty', 'NN')];bilirubindirect presence serum plasmabilirubinglucuronidatedbilirubinalbumin boundserplasproperty;bilirubin in plasma;1
246;14629-0;Bilirubin.direct [Moles/volume] in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.albumin bound;Ser/Plas;SCnc;Bilirubin.direct [Moles/volume] in Serum or PlasmaBilirubin.glucuronidated+Bilirubin.albumin boundSer/Plasproperty;Bilirubindirect Molesvolume in Serum or PlasmaBilirubinglucuronidatedBilirubinalbumin boundSerPlasproperty;['bilirubindirect', 'molesvolume', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];['bilirubindirect', 'molesvolume', 'serum', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];[('bilirubindirect', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubinalbumin', 'NN'), ('boundserplasproperty', 'NN')];bilirubindirect molesvolume serum plasmabilirubinglucuronidatedbilirubinalbumin boundserplasproperty;bilirubin in plasma;1
247;18264-2;Deprecated Direct bilirubin [Mass/volume] in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.albumin bound;Ser/Plas;MCnc;Deprecated Direct bilirubin [Mass/volume] in Serum or PlasmaBilirubin.glucuronidated+Bilirubin.albumin boundSer/Plasproperty;Deprecated Direct bilirubin Massvolume in Serum or PlasmaBilirubinglucuronidatedBilirubinalbumin boundSerPlasproperty;['deprecated', 'direct', 'bilirubin', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];['deprecated', 'direct', 'bilirubin', 'massvolume', 'serum', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];[('deprecated', 'VBN'), ('direct', 'JJ'), ('bilirubin', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubinalbumin', 'NN'), ('boundserplasproperty', 'NN')];deprecated direct bilirubin massvolume serum plasmabilirubinglucuronidatedbilirubinalbumin boundserplasproperty;bilirubin in plasma;1
248;15152-2;Bilirubin.conjugated [Mass/volume] in Serum or Plasma;Bilirubin.glucuronidated;Ser/Plas;MCnc;Bilirubin.conjugated [Mass/volume] in Serum or PlasmaBilirubin.glucuronidatedSer/Plasproperty;Bilirubinconjugated Massvolume in Serum or PlasmaBilirubinglucuronidatedSerPlasproperty;['bilirubinconjugated', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedserplasproperty'];['bilirubinconjugated', 'massvolume', 'serum', 'plasmabilirubinglucuronidatedserplasproperty'];[('bilirubinconjugated', 'VBN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedserplasproperty', 'NN')];bilirubinconjugated massvolume serum plasmabilirubinglucuronidatedserplasproperty;bilirubin in plasma;1
249;29760-6;Bilirubin.conjugated [Moles/volume] in Serum or Plasma;Bilirubin.glucuronidated;Ser/Plas;SCnc;Bilirubin.conjugated [Moles/volume] in Serum or PlasmaBilirubin.glucuronidatedSer/Plasproperty;Bilirubinconjugated Molesvolume in Serum or PlasmaBilirubinglucuronidatedSerPlasproperty;['bilirubinconjugated', 'molesvolume', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedserplasproperty'];['bilirubinconjugated', 'molesvolume', 'serum', 'plasmabilirubinglucuronidatedserplasproperty'];[('bilirubinconjugated', 'VBN'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedserplasproperty', 'NN')];bilirubinconjugated molesvolume serum plasmabilirubinglucuronidatedserplasproperty;bilirubin in plasma;1
250;14631-6;Bilirubin.total [Moles/volume] in Serum or Plasma;Bilirubin;Ser/Plas;SCnc;Bilirubin.total [Moles/volume] in Serum or PlasmaBilirubinSer/Plasproperty;Bilirubintotal Molesvolume in Serum or PlasmaBilirubinSerPlasproperty;['bilirubintotal', 'molesvolume', 'in', 'serum', 'or', 'plasmabilirubinserplasproperty'];['bilirubintotal', 'molesvolume', 'serum', 'plasmabilirubinserplasproperty'];[('bilirubintotal', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinserplasproperty', 'NN')];bilirubintotal molesvolume serum plasmabilirubinserplasproperty;bilirubin in plasma;1
251;35194-0;Bilirubin.total [Mass or Moles/volume] in Serum or Plasma;Bilirubin;Ser/Plas;MSCnc;Bilirubin.total [Mass or Moles/volume] in Serum or PlasmaBilirubinSer/Plasproperty;Bilirubintotal Mass or Molesvolume in Serum or PlasmaBilirubinSerPlasproperty;['bilirubintotal', 'mass', 'or', 'molesvolume', 'in', 'serum', 'or', 'plasmabilirubinserplasproperty'];['bilirubintotal', 'mass', 'molesvolume', 'serum', 'plasmabilirubinserplasproperty'];[('bilirubintotal', 'JJ'), ('mass', 'NN'), ('or', 'CC'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinserplasproperty', 'NN')];bilirubintotal mass molesvolume serum plasmabilirubinserplasproperty;bilirubin in plasma;1
252;77137-8;Bilirubin.total [Moles/volume] in Serum, Plasma or Blood;Bilirubin;Ser/Plas/Bld;SCnc;Bilirubin.total [Moles/volume] in Serum, Plasma or BloodBilirubinSer/Plas/Bldproperty;Bilirubintotal Molesvolume in Serum Plasma or BloodBilirubinSerPlasBldproperty;['bilirubintotal', 'molesvolume', 'in', 'serum', 'plasma', 'or', 'bloodbilirubinserplasbldproperty'];['bilirubintotal', 'molesvolume', 'serum', 'plasma', 'bloodbilirubinserplasbldproperty'];[('bilirubintotal', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'JJ'), ('plasma', 'NN'), ('or', 'CC'), ('bloodbilirubinserplasbldproperty', 'NN')];bilirubintotal molesvolume serum plasma bloodbilirubinserplasbldproperty;bilirubin in plasma;1
253;1969-5;Bilirubin.total renal clearance in 24 hour Urine and Serum or Plasma;Bilirubin renal clearance;Urine+Ser/Plas;VRat;Bilirubin.total renal clearance in 24 hour Urine and Serum or PlasmaBilirubin renal clearanceUrine+Ser/Plasproperty;Bilirubintotal renal clearance in 24 hour Urine and Serum or PlasmaBilirubin renal clearanceUrineSerPlasproperty;['bilirubintotal', 'renal', 'clearance', 'in', '24', 'hour', 'urine', 'and', 'serum', 'or', 'plasmabilirubin', 'renal', 'clearanceurineserplasproperty'];['bilirubintotal', 'renal', 'clearance', '24', 'hour', 'urine', 'serum', 'plasmabilirubin', 'renal', 'clearanceurineserplasproperty'];[('bilirubintotal', 'JJ'), ('renal', 'JJ'), ('clearance', 'NN'), ('in', 'IN'), ('24', 'CD'), ('hour', 'NN'), ('urine', 'NN'), ('and', 'CC'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubin', 'JJ'), ('renal', 'JJ'), ('clearanceurineserplasproperty', 'NN')];bilirubintotal renal clearance 24 hour urine serum plasmabilirubin renal clearanceurineserplasproperty;bilirubin in plasma;1
254;1970-3;Bilirubin.delta [Mass/volume] in Serum or Plasma;Bilirubin.albumin bound;Ser/Plas;MCnc;Bilirubin.delta [Mass/volume] in Serum or PlasmaBilirubin.albumin boundSer/Plasproperty;Bilirubindelta Massvolume in Serum or PlasmaBilirubinalbumin boundSerPlasproperty;['bilirubindelta', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinalbumin', 'boundserplasproperty'];['bilirubindelta', 'massvolume', 'serum', 'plasmabilirubinalbumin', 'boundserplasproperty'];[('bilirubindelta', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinalbumin', 'NN'), ('boundserplasproperty', 'NN')];bilirubindelta massvolume serum plasmabilirubinalbumin boundserplasproperty;bilirubin in plasma;1
255;22665-4;Bilirubin.delta [Moles/volume] in Serum or Plasma;Bilirubin.albumin bound;Ser/Plas;SCnc;Bilirubin.delta [Moles/volume] in Serum or PlasmaBilirubin.albumin boundSer/Plasproperty;Bilirubindelta Molesvolume in Serum or PlasmaBilirubinalbumin boundSerPlasproperty;['bilirubindelta', 'molesvolume', 'in', 'serum', 'or', 'plasmabilirubinalbumin', 'boundserplasproperty'];['bilirubindelta', 'molesvolume', 'serum', 'plasmabilirubinalbumin', 'boundserplasproperty'];[('bilirubindelta', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinalbumin', 'NN'), ('boundserplasproperty', 'NN')];bilirubindelta molesvolume serum plasmabilirubinalbumin boundserplasproperty;bilirubin in plasma;1
256;30438-6;Monocytes+Macrophages/100 leukocytes in Synovial fluid;Monocytes+Macrophages/100 leukocytes;Synv fld;NFr;Monocytes+Macrophages/100 leukocytes in Synovial fluidMonocytes+Macrophages/100 leukocytesSynv fldproperty;MonocytesMacrophages100 leukocytes in Synovial fluidMonocytesMacrophages100 leukocytesSynv fldproperty;['monocytesmacrophages100', 'leukocytes', 'in', 'synovial', 'fluidmonocytesmacrophages100', 'leukocytessynv', 'fldproperty'];['monocytesmacrophages100', 'leukocytes', 'synovial', 'fluidmonocytesmacrophages100', 'leukocytessynv', 'fldproperty'];[('monocytesmacrophages100', 'NN'), ('leukocytes', 'VBZ'), ('in', 'IN'), ('synovial', 'JJ'), ('fluidmonocytesmacrophages100', 'NN'), ('leukocytessynv', 'NN'), ('fldproperty', 'NN')];monocytesmacrophages100 leukocytes synovial fluidmonocytesmacrophages100 leukocytessynv fldproperty;bilirubin in plasma;0
